,0,1
12.0,2.337,2.743
13.0,2.052,2.384
14.0,0.992,2.42
15.0,2.129,1.707
16.0,1.475,1.594
17.0,2.263,2.271
25.0,2.208,2.378
26.0,2.069,1.75
28.0,1.007,1.621
29.0,3.06,2.078
30.0,3.045,2.912
42.0,2.22,2.816
43.0,2.14,2.741
45.0,2.426,2.027
46.0,0.939,1.49
47.0,1.221,1.601
48.0,1.12,2.591
59.0,1.701,3.226
60.0,1.443,2.39
64.0,1.163,1.721
65.0,1.433,1.985
76.0,2.824,3.111
78.0,1.597,2.444
79.0,1.27,2.207
80.0,1.6,2.513
81.0,1.219,2.925
82.0,0.735,2.352
94.0,2.222,2.775
95.0,1.378,2.43
96.0,0.592,1.983
97.0,1.741,2.691
98.0,0.972,2.506
99.0,3.584,2.718
100.0,3.173,3.144
101.0,1.752,2.653
112.0,1.282,2.252
113.0,2.705,2.509
114.0,1.558,2.263
115.0,4.359,3.425
125.0,2.09,2.534
126.0,1.287,2.26
133.0,2.339,2.907
134.0,1.569,3.135
135.0,2.492,2.995
136.0,2.928,1.917
154.0,1.66,3.502
155.0,1.511,2.005
158.0,2.321,2.294
159.0,0.781,1.738
174.0,1.761,2.902
175.0,1.201,1.64
178.0,1.494,1.943
179.0,2.071,2.521
180.0,1.937,1.999
188.0,3.14,3.109
189.0,1.295,1.91
191.0,2.426,2.307
201.0,1.37,2.774
209.0,3.941,3.143
210.0,2.57,2.581
211.0,0.353,2.868
212.0,2.861,2.762
213.0,2.258,2.5
225.0,2.207,3.731
10.0,0.208,3.911
11.0,2.477,2.993
14.0,1.562,2.171
15.0,1.223,1.409
16.0,2.119,2.695
17.0,2.384,2.02
18.0,0.667,2.602
34.0,2.061,2.401
35.0,1.761,2.479
38.0,3.422,2.764
39.0,2.398,2.494
40.0,1.861,1.976
50.0,1.448,2.493
57.0,1.847,2.602
58.0,1.976,1.889
59.0,2.277,2.478
60.0,0.648,1.629
72.0,3.634,2.611
73.0,3.379,3.097
74.0,2.351,2.932
75.0,2.591,1.386
76.0,1.687,2.816
77.0,0.943,1.699
91.0,1.294,2.458
92.0,1.185,1.504
93.0,3.474,3.672
94.0,1.505,1.674
95.0,2.024,1.63
96.0,1.45,2.993
97.0,1.999,1.777
98.0,1.06,1.794
111.0,1.843,2.272
112.0,2.123,2.322
120.0,0.577,2.156
121.0,1.363,1.202
122.0,1.298,2.337
123.0,1.55,2.276
139.0,1.591,2.956
140.0,1.246,2.527
142.0,1.767,2.373
143.0,1.614,1.433
154.0,3.283,2.536
155.0,1.891,2.461
159.0,3.109,2.702
160.0,1.573,2.353
161.0,1.546,2.477
170.0,2.428,2.943
171.0,1.266,1.822
186.0,2.014,2.489
187.0,1.507,1.438
189.0,3.023,2.985
190.0,0.713,3.284
191.0,1.966,2.978
192.0,1.847,1.992
206.0,1.295,2.194
207.0,1.485,2.587
210.0,2.334,3.549
211.0,1.2,2.426
220.0,0.424,3.827
221.0,2.248,2.621
15.0,3.01,4.036
16.0,1.832,2.513
17.0,1.564,1.872
18.0,2.254,1.239
19.0,1.951,2.381
35.0,1.445,2.556
36.0,1.638,1.813
37.0,2.172,2.297
42.0,1.856,2.098
51.0,2.716,3.035
52.0,1.663,0.903
53.0,2.119,1.991
54.0,2.564,1.531
62.0,2.279,2.85
63.0,0.727,1.519
69.0,0.796,2.705
70.0,1.935,1.576
71.0,1.902,1.443
72.0,1.965,1.873
73.0,3.464,1.266
97.0,2.609,3.714
98.0,2.144,1.935
101.0,3.048,2.382
115.0,0.868,2.311
116.0,2.079,1.721
118.0,1.841,2.73
119.0,1.011,2.012
120.0,1.314,1.664
134.0,1.289,3.211
135.0,1.268,1.859
138.0,1.654,2.705
139.0,1.923,2.18
152.0,1.804,2.355
153.0,0.632,2.126
156.0,2.793,2.246
167.0,1.244,3.014
169.0,1.141,2.79
170.0,1.25,2.192
178.0,2.997,3.121
179.0,1.3,2.266
180.0,1.191,2.095
181.0,1.095,1.875
182.0,0.618,1.842
183.0,1.434,2.132
184.0,0.989,1.562
192.0,1.691,2.478
193.0,2.17,2.105
194.0,2.032,1.956
195.0,2.268,2.16
196.0,3.005,1.445
197.0,0.949,2.515
198.0,1.062,1.12
199.0,1.343,2.472
218.0,1.124,2.666
219.0,0.964,3.039
221.0,2.939,2.303
222.0,3.365,2.36
223.0,2.208,2.842
224.0,2.898,2.594
238.0,1.877,4.094
239.0,1.876,1.894
241.0,2.421,2.979
242.0,1.262,1.927
243.0,1.252,1.981
244.0,1.922,2.317
255.0,1.974,3.497
256.0,1.081,2.455
258.0,2.665,3.333
259.0,0.947,2.658
260.0,2.406,2.386
266.0,0.679,2.412
277.0,1.36,1.733
278.0,3.134,3.163
280.0,4.675,2.495
281.0,1.886,2.869
282.0,1.666,2.032
283.0,2.35,1.826
305.0,1.948,3.46
307.0,1.907,2.821
14.0,1.371,3.917
15.0,2.416,3.499
16.0,0.938,2.717
17.0,0.728,2.54
18.0,0.548,2.877
25.0,2.158,1.768
26.0,0.918,4.088
27.0,1.982,2.378
28.0,3.121,3.481
29.0,0.895,4.028
30.0,1.38,2.656
31.0,1.051,3.959
32.0,0.973,3.845
40.0,0.884,1.994
41.0,3.183,2.785
44.0,2.374,3.153
45.0,1.416,2.594
51.0,1.822,3.77
66.0,1.113,3.424
67.0,1.521,3.049
69.0,1.923,5.58
70.0,0.728,2.815
83.0,0.725,2.18
84.0,0.977,2.289
88.0,1.923,3.261
89.0,1.791,2.324
90.0,1.2,2.597
107.0,2.753,2.603
110.0,2.491,3.08
124.0,1.904,2.395
125.0,2.45,1.314
127.0,0.402,3.139
128.0,1.47,2.445
129.0,1.196,2.471
130.0,2.143,2.628
146.0,1.302,3.051
147.0,1.107,2.455
148.0,1.117,1.884
149.0,2.102,2.902
159.0,2.655,3.149
164.0,2.098,1.89
165.0,1.26,2.779
166.0,1.421,1.895
167.0,0.682,1.608
178.0,2.323,2.213
179.0,1.904,2.62
184.0,2.495,3.647
185.0,2.245,2.657
186.0,1.657,4.667
198.0,0.808,2.502
199.0,1.266,2.766
205.0,1.279,2.646
206.0,1.181,2.524
207.0,1.577,1.683
208.0,0.66,2.775
209.0,1.007,3.137
219.0,1.514,2.536
220.0,1.232,2.838
224.0,0.913,2.543
237.0,1.181,3.468
238.0,1.385,2.529
242.0,1.55,3.054
248.0,1.852,3.21
249.0,1.238,2.938
250.0,1.428,1.876
266.0,1.304,3.491
267.0,1.281,2.973
268.0,1.198,3.545
269.0,0.452,2.969
270.0,1.22,2.702
280.0,2.212,3.648
281.0,1.468,3.979
285.0,1.487,3.663
286.0,1.202,2.766
299.0,0.734,4.344
300.0,1.704,3.24
11.0,2.097,3.425
14.0,0.736,2.666
21.0,0.795,2.348
22.0,1.087,2.239
35.0,2.011,2.791
39.0,2.115,3.576
40.0,2.321,1.977
41.0,0.713,2.053
42.0,1.806,2.979
43.0,1.052,3.415
51.0,1.618,3.678
52.0,1.351,2.304
55.0,0.599,2.778
56.0,3.546,3.385
57.0,0.833,2.227
76.0,2.909,3.42
77.0,0.741,3.636
81.0,1.41,5.149
82.0,0.683,1.938
83.0,0.68,2.234
84.0,1.655,4.005
85.0,0.65,2.286
96.0,2.163,3.56
97.0,0.703,2.329
100.0,1.902,2.578
114.0,1.028,3.273
115.0,0.962,3.065
116.0,0.663,2.88
117.0,1.565,2.003
118.0,2.037,1.937
130.0,1.194,3.441
131.0,0.792,3.356
132.0,1.311,1.703
138.0,2.586,2.888
139.0,0.651,2.818
140.0,0.631,3.369
152.0,3.822,3.112
153.0,1.148,2.201
157.0,1.532,2.781
158.0,1.31,2.648
159.0,0.683,2.073
160.0,3.224,2.026
170.0,1.408,1.902
171.0,1.199,2.916
174.0,0.947,2.334
175.0,1.533,1.99
176.0,0.598,3.12
177.0,0.998,2.953
187.0,5.199,3.519
188.0,1.022,2.695
192.0,0.838,4.063
193.0,1.099,2.777
194.0,0.528,3.215
195.0,1.103,3.136
211.0,,3.868
212.0,,
15.0,1.335,2.993
16.0,0.884,2.103
19.0,1.328,2.671
24.0,1.405,3.111
25.0,1.255,2.367
34.0,2.214,3.474
35.0,0.918,2.839
36.0,1.055,2.306
37.0,0.687,3.395
38.0,0.643,2.14
39.0,1.388,2.264
40.0,0.72,3.129
50.0,0.729,3.481
51.0,1.131,2.126
53.0,1.132,4.547
54.0,0.685,2.106
65.0,1.155,2.993
66.0,0.951,2.328
69.0,1.372,2.289
70.0,2.768,2.364
71.0,0.789,2.991
72.0,1.174,3.484
80.0,0.693,5.366
83.0,1.463,2.917
84.0,1.318,3.33
85.0,1.074,2.874
86.0,0.835,4.053
87.0,0.974,3.808
88.0,0.604,2.763
100.0,0.95,3.37
101.0,1.595,2.973
104.0,0.688,2.52
105.0,1.559,2.431
106.0,1.083,1.966
107.0,0.727,4.052
108.0,0.907,2.9
115.0,1.235,2.844
116.0,0.645,3.11
120.0,1.721,2.998
10.0,1.346,5.154
11.0,2.065,2.958
14.0,1.461,3.052
15.0,1.047,3.152
16.0,1.062,4.136
28.0,4.523,3.975
29.0,0.851,1.819
30.0,0.995,2.074
31.0,1.599,3.298
32.0,2.243,2.971
33.0,0.692,2.826
44.0,3.804,2.905
49.0,0.855,1.904
50.0,2.06,2.617
61.0,1.466,3.098
62.0,0.809,2.259
64.0,1.411,3.711
76.0,1.606,3.189
92.0,2.231,2.55
93.0,1.793,3.246
95.0,1.091,4.745
96.0,1.091,2.488
97.0,0.974,2.473
98.0,0.823,2.747
106.0,0.692,2.675
107.0,1.448,2.211
108.0,0.821,2.237
109.0,1.336,2.764
110.0,0.935,2.414
117.0,0.729,4.306
118.0,1.664,2.271
119.0,1.087,2.95
120.0,1.715,3.339
121.0,1.01,4.529
122.0,1.03,2.285
137.0,1.088,3.839
138.0,1.16,3.845
141.0,0.635,3.026
142.0,1.484,3.691
143.0,0.844,1.856
144.0,1.004,4.075
145.0,1.211,2.209
155.0,0.698,3.158
156.0,1.446,2.738
158.0,1.731,3.757
159.0,1.244,3.11
166.0,1.204,2.918
167.0,0.823,2.23
168.0,1.068,3.071
173.0,1.551,2.877
174.0,2.743,3.287
182.0,2.009,2.953
183.0,0.936,3.483
185.0,2.25,3.164
186.0,1.141,2.853
187.0,0.872,3.005
188.0,1.037,3.453
205.0,1.096,3.802
206.0,1.123,2.678
211.0,0.76,2.832
212.0,1.026,3.379
9.0,2.035,2.144
10.0,1.228,2.033
12.0,2.454,3.849
13.0,1.284,2.519
14.0,2.064,2.717
26.0,1.73,3.561
32.0,2.284,1.665
33.0,1.231,2.172
34.0,3.114,3.689
49.0,1.05,2.657
54.0,1.264,4.128
55.0,0.904,2.682
56.0,0.712,2.175
57.0,0.993,2.246
67.0,0.747,2.483
71.0,1.005,2.301
72.0,1.362,2.75
73.0,1.542,3.588
85.0,1.227,2.569
86.0,0.969,2.348
95.0,2.486,2.29
99.0,3.048,3.342
100.0,1.345,3.455
101.0,1.091,2.229
102.0,1.123,2.215
119.0,1.458,3.193
122.0,0.825,2.798
123.0,2.119,2.453
124.0,0.839,2.87
131.0,1.956,2.286
134.0,1.12,1.791
135.0,1.361,2.277
147.0,1.965,3.185
148.0,5.034,2.419
152.0,0.995,1.782
164.0,1.306,2.599
165.0,0.945,2.129
167.0,2.95,2.507
168.0,0.944,2.441
180.0,1.684,2.321
181.0,1.93,2.339
188.0,0.769,2.932
198.0,0.822,3.466
199.0,1.368,2.07
201.0,2.806,3.129
202.0,1.784,2.55
203.0,0.871,2.454
214.0,1.572,3.038
215.0,0.953,7.604
217.0,6.448,3.196
218.0,1.091,2.43
219.0,,2.336
220.0,,
17.0,1.057,3.419
18.0,0.77,3.078
19.0,0.983,3.896
20.0,2.069,5.303
31.0,0.92,3.549
32.0,1.629,3.127
33.0,1.245,2.063
34.0,0.424,3.103
35.0,1.151,2.672
47.0,1.255,2.537
48.0,1.035,4.392
51.0,1.244,3.033
60.0,1.364,3.154
61.0,0.586,3.158
64.0,1.14,4.44
65.0,1.996,4.708
66.0,1.492,3.535
76.0,0.793,2.634
77.0,1.644,5.036
81.0,1.454,3.93
93.0,1.615,2.722
96.0,0.433,3.13
97.0,2.183,2.853
98.0,3.004,2.628
111.0,1.711,2.937
11.0,1.425,4.533
12.0,1.258,3.336
15.0,1.082,3.891
16.0,1.426,2.671
17.0,1.843,2.827
18.0,1.423,3.75
19.0,0.835,3.31
28.0,2.939,2.945
29.0,0.618,2.868
34.0,1.133,2.967
35.0,2.211,3.056
45.0,0.798,2.633
46.0,1.3,2.556
49.0,0.424,3.092
50.0,2.384,3.384
51.0,1.522,3.92
52.0,1.566,2.492
53.0,0.836,2.257
63.0,1.11,1.59
64.0,0.655,2.361
67.0,0.827,2.686
68.0,2.154,2.049
69.0,1.622,1.82
70.0,1.228,3.593
71.0,1.565,3.009
80.0,1.193,2.051
81.0,2.662,2.281
84.0,0.764,3.479
85.0,2.924,3.181
92.0,0.646,2.44
93.0,1.746,2.461
94.0,0.978,2.922
95.0,2.27,3.747
96.0,1.206,5.191
111.0,1.053,3.951
112.0,2.062,2.803
115.0,0.783,3.943
116.0,0.955,3.624
124.0,2.526,3.203
