,0,1
34.0,2.385,1.941
54.0,2.388,3.171
69.0,2.319,2.7
143.0,1.794,3.13
166.0,0.699,2.894
184.0,1.57,2.265
196.0,0.785,2.814
4.0,0.275,3.289
23.0,0.757,1.363
45.0,2.497,3.322
64.0,0.654,1.942
128.0,1.896,2.15
148.0,1.819,3.269
165.0,2.74,3.384
177.0,2.089,3.41
197.0,1.003,1.762
80.0,2.083,3.26
105.0,1.859,2.504
128.0,2.549,3.588
161.0,2.22,2.391
174.0,1.381,1.512
233.0,1.256,3.236
248.0,2.75,2.664
271.0,2.578,3.316
288.0,0.536,4.619
36.0,0.421,2.723
61.0,0.79,2.128
80.0,2.726,2.482
95.0,0.731,2.647
119.0,1.563,2.355
214.0,1.363,3.828
230.0,1.205,2.653
274.0,1.004,3.111
290.0,0.824,2.689
5.0,1.79,2.212
29.0,0.941,2.915
47.0,0.934,2.419
62.0,1.067,2.668
90.0,1.632,3.059
144.0,0.965,3.608
164.0,2.063,3.843
181.0,0.863,3.638
200.0,1.184,3.396
8.0,1.957,3.701
58.0,0.83,3.315
76.0,0.619,2.848
112.0,0.72,2.918
54.0,2.409,3.177
69.0,1.388,2.733
149.0,0.878,2.823
192.0,1.156,2.626
4.0,1.326,2.718
92.0,0.963,2.747
156.0,2.859,3.342
193.0,0.939,2.39
207.0,3.09,2.784
40.0,1.852,3.644
55.0,1.095,2.809
73.0,1.199,2.379
24.0,0.548,2.604
41.0,1.247,1.994
57.0,1.38,1.651
75.0,1.253,3.0
89.0,0.676,2.369
120.0,1.108,2.789
158.0,0.806,1.901
53.0,1.436,4.757
67.0,1.887,3.661
89.0,0.389,2.95
106.0,0.833,2.529
127.0,1.172,2.488
142.0,0.894,2.91
91.0,1.643,2.328
122.0,0.744,3.36
144.0,1.757,2.528
160.0,0.542,2.868
180.0,2.209,2.324
196.0,1.078,1.287
213.0,3.328,3.281
228.0,0.821,2.377
242.0,0.487,2.398
72.0,1.354,2.292
92.0,0.916,2.442
116.0,2.456,3.17
142.0,2.42,5.1
158.0,0.618,3.193
73.0,1.594,3.076
92.0,2.222,3.185
111.0,3.639,2.421
145.0,1.776,2.777
163.0,0.427,2.066
179.0,1.488,2.237
194.0,2.651,3.908
211.0,1.726,1.688
228.0,1.439,2.234
247.0,0.848,2.609
82.0,2.139,3.219
98.0,2.32,3.909
117.0,1.675,2.515
134.0,1.11,2.423
152.0,3.245,2.378
72.0,1.928,3.397
50.0,1.735,4.354
75.0,0.544,3.105
57.0,1.398,3.417
69.0,1.692,2.743
46.0,0.952,6.09
68.0,3.932,4.978
73.0,1.514,3.179
92.0,3.628,2.08
56.0,2.193,4.262
72.0,1.405,3.852
90.0,1.409,4.849
116.0,1.516,4.0
137.0,1.695,4.139
154.0,1.457,3.856
173.0,1.086,3.342
196.0,0.68,2.677
220.0,1.52,3.014
76.0,2.467,3.582
92.0,1.276,3.178
55.0,0.994,5.412
75.0,1.307,6.019
92.0,1.322,4.559
108.0,1.274,5.368
129.0,1.234,6.812
149.0,1.731,4.635
166.0,1.865,3.44
60.0,1.248,4.486
82.0,2.133,4.404
99.0,1.312,2.477
121.0,1.69,2.805
136.0,1.346,3.598
155.0,1.278,2.891
176.0,1.505,2.244
198.0,1.893,3.046
218.0,0.887,2.984
6.0,1.028,3.649
21.0,0.992,1.997
78.0,1.755,3.981
94.0,1.428,4.682
130.0,1.291,3.044
149.0,0.722,4.184
161.0,1.843,3.507
175.0,1.005,3.139
191.0,0.917,2.594
202.0,1.034,3.07
219.0,1.461,3.549
50.0,2.411,4.373
66.0,1.577,4.958
105.0,1.022,3.139
123.0,2.287,3.429
149.0,1.143,5.34
161.0,1.188,3.617
179.0,1.122,4.206
235.0,1.594,3.366
260.0,1.875,2.129
278.0,0.893,1.747
294.0,1.508,2.752
37.0,3.16,2.854
52.0,1.373,3.311
64.0,2.365,3.113
112.0,0.95,2.073
157.0,1.182,2.783
176.0,1.257,3.102
222.0,1.299,2.861
258.0,1.069,2.58
273.0,1.969,2.921
41.0,1.424,5.695
59.0,2.266,3.232
72.0,1.414,3.593
89.0,1.739,3.625
122.0,1.547,4.573
136.0,1.322,3.032
151.0,1.681,3.084
63.0,1.305,3.672
78.0,0.944,3.572
92.0,1.501,4.394
115.0,0.972,3.288
25.0,2.067,3.929
38.0,1.396,2.683
90.0,1.678,3.214
132.0,2.379,3.359
170.0,2.512,3.032
185.0,2.393,5.462
203.0,2.361,4.029
7.0,1.613,2.516
68.0,0.952,3.194
99.0,1.045,2.043
140.0,1.119,2.646
50.0,2.129,5.227
65.0,1.682,2.859
82.0,4.194,2.435
99.0,1.5,3.228
