,0,1
9.0,1.338,2.334
24.0,3.033,2.522
37.0,1.984,2.27
52.0,2.362,2.939
58.0,1.888,2.109
84.0,2.073,3.084
87.0,2.008,1.56
103.0,2.469,1.675
107.0,2.91,2.084
118.0,2.206,2.52
124.0,2.264,3.363
138.0,2.671,2.307
145.0,2.456,2.098
163.0,0.702,2.265
187.0,2.851,3.449
193.0,2.082,3.248
200.0,2.157,2.848
216.0,3.076,3.121
218.0,2.407,2.27
220.0,2.085,1.636
21.0,2.972,1.973
80.0,1.675,1.938
100.0,1.308,1.791
103.0,1.338,2.651
105.0,1.99,2.628
125.0,2.176,1.798
130.0,0.898,1.409
194.0,2.051,3.017
5.0,2.145,2.309
7.0,2.709,2.403
12.0,1.084,1.803
21.0,0.762,2.557
24.0,2.593,2.673
44.0,2.58,1.893
75.0,1.82,2.024
81.0,2.514,1.561
84.0,1.996,1.94
87.0,1.282,1.976
106.0,1.327,2.176
123.0,2.279,2.255
125.0,2.061,2.127
142.0,1.103,2.253
159.0,1.222,2.172
186.0,1.566,2.427
191.0,1.067,2.305
201.0,1.314,2.417
208.0,2.028,2.213
227.0,2.151,2.214
230.0,0.971,2.571
57.0,1.781,2.88
72.0,0.854,3.339
99.0,1.455,1.776
138.0,0.49,2.68
169.0,0.952,3.129
60.0,2.245,1.629
63.0,1.264,3.395
91.0,2.091,2.881
104.0,0.975,3.563
38.0,1.285,2.558
81.0,1.5,3.154
106.0,1.614,2.591
190.0,1.602,2.945
38.0,0.909,3.254
70.0,1.083,2.064
83.0,1.842,3.165
21.0,2.042,2.947
79.0,0.628,1.812
98.0,0.937,2.484
132.0,0.907,1.842
19.0,0.521,2.279
25.0,0.608,2.777
28.0,0.74,2.601
36.0,0.998,1.797
54.0,1.295,1.688
69.0,1.644,2.185
90.0,1.04,2.733
108.0,1.172,1.79
114.0,1.447,1.88
156.0,1.443,2.151
158.0,1.12,2.962
177.0,1.463,2.383
19.0,2.782,3.027
35.0,1.527,3.391
38.0,0.871,2.617
53.0,0.853,2.846
69.0,0.915,2.447
71.0,0.484,2.266
74.0,1.726,2.951
87.0,0.714,2.467
102.0,1.437,3.308
104.0,2.21,3.184
112.0,0.809,2.041
125.0,1.524,2.771
139.0,2.007,2.416
147.0,2.072,2.772
157.0,2.096,3.159
163.0,1.473,2.389
193.0,1.16,2.562
198.0,0.564,2.259
231.0,0.783,3.254
19.0,0.318,2.021
22.0,1.744,3.475
51.0,3.73,3.388
87.0,2.551,2.125
89.0,0.699,1.887
111.0,2.671,2.64
139.0,1.897,2.276
159.0,3.082,2.878
6.0,,
18.0,2.028,4.234
22.0,3.842,3.027
51.0,3.385,2.277
53.0,1.433,2.308
77.0,2.873,3.21
108.0,1.755,3.046
124.0,2.045,2.418
126.0,1.919,1.831
139.0,2.404,2.869
142.0,2.296,1.964
154.0,3.479,3.411
159.0,1.688,2.24
195.0,2.759,2.588
197.0,1.875,2.034
207.0,1.031,2.12
209.0,1.601,1.956
225.0,3.142,2.25
229.0,1.629,2.822
248.0,2.615,3.095
28.0,1.768,2.855
49.0,1.589,2.509
63.0,1.413,1.342
69.0,1.234,2.821
78.0,2.03,2.615
80.0,2.805,2.135
85.0,1.522,1.984
95.0,1.602,2.007
115.0,0.186,2.956
135.0,1.828,2.221
154.0,0.718,2.243
50.0,2.028,2.812
72.0,1.594,2.509
19.0,1.243,2.754
42.0,1.294,1.861
62.0,1.613,2.672
93.0,1.307,1.557
27.0,1.391,1.839
58.0,2.645,2.974
76.0,3.213,3.672
86.0,2.283,4.248
91.0,1.611,2.034
112.0,2.133,3.553
156.0,1.409,1.952
170.0,0.764,3.724
199.0,0.942,2.438
19.0,1.285,1.683
26.0,0.79,3.085
28.0,0.879,2.02
45.0,1.926,2.68
58.0,1.721,2.283
60.0,3.082,3.993
90.0,0.684,1.948
93.0,1.358,2.418
168.0,1.674,2.237
37.0,1.675,3.065
118.0,1.347,2.307
173.0,1.292,2.561
253.0,2.038,2.605
258.0,0.943,1.011
23.0,1.92,2.553
38.0,2.033,2.65
69.0,3.827,3.666
120.0,1.551,1.741
140.0,1.515,3.123
159.0,1.081,2.461
164.0,1.533,5.732
184.0,2.594,5.098
196.0,2.22,3.556
202.0,0.926,2.24
211.0,1.144,3.25
217.0,2.104,3.203
4.0,2.508,
37.0,1.222,3.467
232.0,1.255,4.876
280.0,1.125,2.298
14.0,3.165,3.028
32.0,2.502,2.768
84.0,1.996,2.714
124.0,3.231,2.758
151.0,1.158,2.532
180.0,2.419,2.193
197.0,3.005,2.838
201.0,3.39,3.393
212.0,1.581,2.33
215.0,1.031,2.426
218.0,1.366,3.25
225.0,0.846,2.265
231.0,0.941,2.955
239.0,0.78,2.246
241.0,3.921,3.262
251.0,1.597,1.956
253.0,1.841,2.915
263.0,1.613,2.092
280.0,2.408,4.486
295.0,2.14,2.901
21.0,2.699,3.425
49.0,1.235,3.274
74.0,2.041,3.487
114.0,2.833,2.36
119.0,0.818,3.353
121.0,2.398,2.998
174.0,3.083,2.882
54.0,3.928,3.009
66.0,1.243,2.269
84.0,2.059,2.982
154.0,1.579,2.854
219.0,1.998,3.062
5.0,1.194,3.753
23.0,2.28,3.612
25.0,2.004,3.029
51.0,1.979,3.024
96.0,1.509,2.66
113.0,1.57,3.301
115.0,1.769,2.828
132.0,2.675,2.947
137.0,2.373,3.663
133.0,2.322,3.511
