,0,1
6.0,0.948,2.24
7.0,2.532,1.91
8.0,1.175,1.646
20.0,2.505,3.629
21.0,1.732,2.304
22.0,1.572,1.375
23.0,1.309,1.903
32.0,1.077,2.841
33.0,1.621,1.632
35.0,2.76,1.776
36.0,3.735,2.046
39.0,1.34,1.713
51.0,1.257,1.131
55.0,0.738,2.119
56.0,1.879,2.106
57.0,1.631,2.111
67.0,1.256,1.805
68.0,3.355,2.512
70.0,2.237,3.388
71.0,1.685,1.373
72.0,2.014,1.723
86.0,2.483,2.32
91.0,2.401,1.798
109.0,3.97,3.133
110.0,1.692,2.384
122.0,1.064,2.774
123.0,2.376,2.101
142.0,2.467,3.448
144.0,1.04,1.831
147.0,0.805,2.59
148.0,1.384,3.672
149.0,1.104,2.14
162.0,1.006,2.187
167.0,2.112,2.29
168.0,2.023,2.107
169.0,1.628,2.501
170.0,0.566,1.035
171.0,2.162,1.412
182.0,1.291,1.951
183.0,1.437,2.226
185.0,0.774,1.044
186.0,3.414,2.942
195.0,2.737,2.836
197.0,1.699,2.499
198.0,1.785,2.728
199.0,1.353,1.47
215.0,1.722,4.084
222.0,3.051,3.629
3.0,,
5.0,1.67,1.744
6.0,2.327,2.432
7.0,3.483,2.565
20.0,2.399,2.747
24.0,0.76,2.209
25.0,2.759,2.485
26.0,2.467,1.579
27.0,0.784,1.632
43.0,1.249,2.181
44.0,1.79,1.481
46.0,2.317,1.22
62.0,1.628,3.223
63.0,2.27,1.283
65.0,1.941,1.558
66.0,2.313,1.565
67.0,2.446,2.786
68.0,2.963,2.223
69.0,1.893,2.389
82.0,1.857,2.156
83.0,1.493,1.357
84.0,2.611,2.782
85.0,2.184,2.393
86.0,1.912,1.539
102.0,0.92,3.735
107.0,3.389,2.508
108.0,1.605,1.936
109.0,3.137,2.929
127.0,3.366,2.77
129.0,3.546,2.875
134.0,1.58,1.895
135.0,1.451,2.149
136.0,1.306,2.222
146.0,1.505,1.533
147.0,1.922,2.349
149.0,2.162,1.58
150.0,0.797,1.926
151.0,1.814,1.925
152.0,1.51,1.802
163.0,1.102,3.785
164.0,2.015,1.715
166.0,0.801,1.765
167.0,2.333,2.348
168.0,3.058,1.832
175.0,0.632,2.513
176.0,1.408,1.214
178.0,2.559,1.435
179.0,1.89,2.555
196.0,2.383,2.227
198.0,1.943,3.385
199.0,2.612,3.635
200.0,0.69,2.462
201.0,3.169,2.641
213.0,0.714,2.201
214.0,2.27,2.64
215.0,2.633,3.815
216.0,0.321,2.316
4.0,2.065,1.765
11.0,3.83,2.573
23.0,2.138,2.196
28.0,2.457,1.464
29.0,1.649,1.43
30.0,1.667,1.488
31.0,1.301,1.722
32.0,2.234,2.403
46.0,2.88,1.918
47.0,2.19,1.603
48.0,1.322,2.023
49.0,2.964,2.513
56.0,1.623,2.104
57.0,0.969,1.742
58.0,3.017,2.262
59.0,0.698,1.774
79.0,1.958,2.581
