,0,1
10.0,1.003,2.763
74.0,2.872,2.439
202.0,1.863,1.819
226.0,1.562,4.39
231.0,2.372,3.397
233.0,2.973,4.092
235.0,0.951,3.328
51.0,1.58,2.203
174.0,2.864,2.543
193.0,1.795,3.3
222.0,,2.522
13.0,2.266,3.768
38.0,1.399,2.186
64.0,2.51,1.936
165.0,1.88,2.076
261.0,2.045,3.325
300.0,3.082,2.9
46.0,1.774,2.346
48.0,1.201,2.391
71.0,1.91,2.227
105.0,1.349,2.701
160.0,2.505,3.125
243.0,0.466,3.465
263.0,1.466,3.987
9.0,3.773,3.9
15.0,1.541,2.742
17.0,1.957,4.011
36.0,1.359,2.456
133.0,1.155,2.789
20.0,1.523,2.736
22.0,1.371,3.122
12.0,1.127,2.72
45.0,1.37,2.369
74.0,1.136,2.661
79.0,1.673,3.261
99.0,1.313,2.735
169.0,0.958,3.053
27.0,0.75,3.103
35.0,0.964,4.169
50.0,1.707,2.472
65.0,2.305,2.493
69.0,2.468,3.119
89.0,0.756,2.615
96.0,3.37,2.295
116.0,1.521,2.309
120.0,1.121,3.538
125.0,1.05,2.584
132.0,1.612,2.302
150.0,2.73,2.803
189.0,1.075,2.248
52.0,1.564,4.203
94.0,1.349,2.464
29.0,1.673,2.871
43.0,0.847,4.508
61.0,2.517,4.095
169.0,1.027,3.443
172.0,1.04,2.962
239.0,2.205,3.452
246.0,1.636,2.788
25.0,1.59,3.438
29.0,0.3,1.287
11.0,3.035,3.773
183.0,1.303,2.254
249.0,0.666,4.27
15.0,2.365,3.113
21.0,2.391,2.801
23.0,1.705,2.283
107.0,1.559,2.456
15.0,1.437,2.879
22.0,1.564,2.74
39.0,1.081,2.091
60.0,1.64,3.506
82.0,2.02,3.137
59.0,1.904,2.017
19.0,,
77.0,3.437,3.703
119.0,0.934,2.026
169.0,1.302,2.217
180.0,0.927,3.315
188.0,3.524,3.513
190.0,2.125,4.263
256.0,1.324,3.174
268.0,0.843,1.915
11.0,1.354,2.808
62.0,1.025,2.806
97.0,1.475,3.314
114.0,1.512,2.686
161.0,1.288,3.321
163.0,1.125,3.198
184.0,1.483,3.085
190.0,,3.23
65.0,1.292,2.492
147.0,0.991,1.994
167.0,1.112,4.628
10.0,2.857,2.614
29.0,2.759,2.765
34.0,1.49,3.062
36.0,2.825,2.996
47.0,3.086,5.061
65.0,2.075,3.11
78.0,2.188,2.855
81.0,2.994,3.315
84.0,1.242,2.572
102.0,1.682,3.522
121.0,2.239,2.118
126.0,2.88,4.172
129.0,1.182,3.702
172.0,1.407,4.704
174.0,1.575,3.216
237.0,0.847,2.6
49.0,1.213,3.209
51.0,1.695,3.524
172.0,0.776,1.956
211.0,0.78,2.875
243.0,1.04,2.996
247.0,1.467,4.505
263.0,1.232,2.66
267.0,1.639,3.236
21.0,2.361,3.906
27.0,1.383,3.258
38.0,1.61,3.197
61.0,1.353,3.845
63.0,3.007,3.435
77.0,2.366,2.535
80.0,1.807,4.228
93.0,2.422,2.904
95.0,3.73,2.931
99.0,1.309,3.814
112.0,1.177,2.812
116.0,2.644,2.859
136.0,1.55,3.054
152.0,2.606,3.873
187.0,1.024,4.671
205.0,0.735,4.331
229.0,1.972,3.538
305.0,0.766,5.397
23.0,2.368,2.812
71.0,2.679,1.997
73.0,2.881,2.404
80.0,0.968,2.742
85.0,1.891,4.037
101.0,1.501,3.22
118.0,1.898,2.72
145.0,2.422,3.256
167.0,2.971,3.358
172.0,1.487,2.639
187.0,1.802,2.324
199.0,1.522,2.366
206.0,1.481,3.055
216.0,0.995,2.438
227.0,1.673,2.938
232.0,2.057,2.544
234.0,1.944,2.447
236.0,3.016,2.72
246.0,2.601,2.356
265.0,1.576,3.115
270.0,1.096,2.277
286.0,,3.488
14.0,1.994,3.448
48.0,1.843,1.654
63.0,2.397,2.747
77.0,1.654,2.003
83.0,1.147,2.556
68.0,1.734,3.398
82.0,1.362,2.148
10.0,1.413,2.429
30.0,1.94,2.308
35.0,0.938,2.225
55.0,0.988,3.392
110.0,3.032,3.992
34.0,1.733,2.378
73.0,1.979,1.958
121.0,2.37,2.225
124.0,0.973,2.896
124.0,2.133,4.284
