,0,1
27.0,0.959,0.97
44.0,2.323,0.974
77.0,1.72,0.84
190.0,1.583,1.914
230.0,2.096,1.899
141.0,2.145,1.619
188.0,2.774,1.619
117.0,2.624,2.292
168.0,1.453,1.629
220.0,2.248,1.702
240.0,1.153,1.018
257.0,2.716,1.226
279.0,1.673,1.352
306.0,1.257,2.123
68.0,0.853,3.777
126.0,0.614,2.867
38.0,1.572,3.59
52.0,0.551,3.018
63.0,1.32,3.635
94.0,1.109,3.563
157.0,0.434,2.862
184.0,1.562,2.64
11.0,1.94,2.387
31.0,2.923,4.189
68.0,0.612,2.517
98.0,1.524,2.123
149.0,1.399,1.843
166.0,2.222,2.835
200.0,0.874,2.571
216.0,0.445,2.726
135.0,2.784,3.016
80.0,1.71,2.297
100.0,1.875,2.676
148.0,1.938,1.981
133.0,0.696,2.172
150.0,1.355,1.419
239.0,1.897,0.686
72.0,1.98,1.774
106.0,2.142,2.069
145.0,1.84,1.922
64.0,1.671,2.752
81.0,2.279,1.972
44.0,2.651,3.847
63.0,2.193,0.695
82.0,2.502,2.303
47.0,0.801,2.327
63.0,2.471,2.028
81.0,2.521,2.497
54.0,2.145,3.578
106.0,2.211,2.098
165.0,2.092,1.985
229.0,1.289,2.74
263.0,0.693,2.425
82.0,1.008,2.657
96.0,2.314,2.261
186.0,2.243,3.195
227.0,1.114,2.486
275.0,1.196,0.836
170.0,1.277,1.802
183.0,1.591,2.515
227.0,1.351,2.419
155.0,0.983,2.746
287.0,1.138,2.176
304.0,0.836,2.287
44.0,2.66,2.339
59.0,0.624,3.317
185.0,1.093,2.72
215.0,2.293,2.903
230.0,2.628,2.868
283.0,1.232,2.305
50.0,1.387,2.214
80.0,1.73,3.914
98.0,1.264,2.365
128.0,1.076,3.029
144.0,1.246,2.439
85.0,1.032,1.792
101.0,1.295,2.113
122.0,0.67,2.456
77.0,2.475,1.869
177.0,2.304,2.691
76.0,2.505,2.623
149.0,1.996,2.727
