,0,1
61.0,1.376,3.123
127.0,2.595,3.449
156.0,0.712,1.665
176.0,1.434,3.055
12.0,0.88,3.327
36.0,1.694,2.721
55.0,2.966,4.264
113.0,0.645,2.556
156.0,1.65,1.984
172.0,1.521,2.56
208.0,1.017,3.415
99.0,1.3,3.772
136.0,3.333,2.016
154.0,1.822,3.104
42.0,1.565,3.236
85.0,0.835,4.393
108.0,1.121,2.976
180.0,0.961,3.669
200.0,0.405,3.343
221.0,0.345,2.948
239.0,0.802,2.914
282.0,1.296,4.411
301.0,0.677,3.878
12.0,1.234,2.529
53.0,1.414,3.43
78.0,0.916,2.777
98.0,1.496,3.38
154.0,0.899,5.86
172.0,0.97,2.526
189.0,1.002,3.114
17.0,1.206,4.971
67.0,0.954,3.48
102.0,0.972,3.741
117.0,1.197,4.21
47.0,0.815,3.284
77.0,0.793,3.563
139.0,1.398,3.273
207.0,0.911,2.761
87.0,1.114,7.545
182.0,0.947,2.606
49.0,1.097,2.32
62.0,0.818,3.17
78.0,1.129,3.986
13.0,0.345,3.139
30.0,1.836,3.157
47.0,1.572,2.582
65.0,1.199,2.317
82.0,1.6,3.247
113.0,1.177,3.576
46.0,0.821,3.87
60.0,1.853,3.188
80.0,2.618,4.473
98.0,1.249,3.738
117.0,2.459,2.621
185.0,1.461,3.613
77.0,1.57,2.563
96.0,1.233,4.15
115.0,1.58,3.438
133.0,1.128,2.627
150.0,1.277,2.765
166.0,2.061,3.445
187.0,1.866,3.605
206.0,0.624,2.951
221.0,1.09,2.218
234.0,2.812,3.806
60.0,1.667,2.702
124.0,2.854,2.8
62.0,0.883,4.143
83.0,3.607,4.042
100.0,1.801,2.784
169.0,1.576,3.066
186.0,1.302,2.963
200.0,1.685,3.052
217.0,1.506,3.565
88.0,0.377,2.373
124.0,2.164,1.738
161.0,,
34.0,1.433,5.761
65.0,1.182,2.489
79.0,1.587,4.484
49.0,1.353,5.241
66.0,2.47,4.926
80.0,1.311,3.905
102.0,1.819,3.52
127.0,2.175,4.904
143.0,1.355,4.316
183.0,1.768,3.789
212.0,1.911,3.578
67.0,1.437,3.58
46.0,1.075,5.502
64.0,1.621,4.432
84.0,1.654,3.872
99.0,1.565,4.478
118.0,1.234,4.539
138.0,0.772,3.854
157.0,0.835,2.866
181.0,0.758,4.754
47.0,1.375,2.31
67.0,2.322,1.565
106.0,0.816,3.32
129.0,2.575,4.074
145.0,0.928,2.366
163.0,2.566,2.498
207.0,2.153,3.501
12.0,1.251,1.997
28.0,2.209,2.309
69.0,2.277,2.327
71.0,1.461,4.183
83.0,1.308,4.709
102.0,1.232,3.181
123.0,1.165,4.504
141.0,1.153,3.758
155.0,1.364,3.421
196.0,0.86,3.384
208.0,1.14,3.314
42.0,1.102,4.915
57.0,2.398,4.358
97.0,1.855,3.571
114.0,1.254,4.207
140.0,0.956,3.342
168.0,1.835,3.948
183.0,0.849,3.988
244.0,1.49,4.407
270.0,2.128,5.41
25.0,1.818,3.117
104.0,1.101,3.343
148.0,2.083,4.855
267.0,2.0,2.91
33.0,1.405,5.43
66.0,2.324,4.084
115.0,1.087,2.937
159.0,1.121,2.734
52.0,0.652,5.149
71.0,1.72,3.232
33.0,1.019,4.11
43.0,2.156,3.224
95.0,1.581,4.772
141.0,0.876,2.383
162.0,1.274,2.214
209.0,0.794,3.093
14.0,6.552,4.858
59.0,2.632,2.83
106.0,1.38,3.862
42.0,1.035,3.757
57.0,0.861,3.838
73.0,1.18,3.256
90.0,1.476,2.676
104.0,1.439,2.892
